Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Category,Sales,Quantity,Discount,Profit,Customer_Satisfaction_Score,Return_Status
ORD-1000,2025-04-13,CUST-142,Consumer,South,Technology,1189.594632505604,3,0.0,210.54345120702953,4.0,No
ORD-1001,2025-06-29,CUST-143,Consumer,West,Technology,162.78920445040902,11,0.3,318.7730621809417,5.0,No
ORD-1002,2025-04-03,CUST-128,Home Office,South,Office Supplies,133.89048276715795,8,0.5,123.79060077603759,,No
ORD-1003,2025-01-15,CUST-112,Consumer,Central,Office Supplies,871.963192383202,12,0.2,3.612914319731601,5.0,Yes
ORD-1004,2025-04-17,CUST-111,Corporate,East,Office Supplies,698.2804312376268,10,0.1,-79.94627944809437,4.0,No
ORD-1005,2025-03-13,CUST-130,Corporate,Central,Office Supplies,336.251193206169,8,0.3,87.03898400865756,5.0,No
ORD-1006,2025-01-21,CUST-145,Corporate,West,Furniture,104.50904909689406,8,0.2,35.86251503487583,4.0,No
ORD-1007,2025-04-13,CUST-101,Consumer,East,Furniture,111.93331701975234,12,0.5,242.489737710744,4.0,No
ORD-1008,2025-05-02,CUST-149,Corporate,West,Office Supplies,1074.0871408503008,12,0.0,59.42049417847096,5.0,No
ORD-1009,2025-03-16,CUST-134,Home Office,West,Furniture,238.32211641530407,9,0.5,327.0820383416798,3.0,No
ORD-1010,2025-03-29,CUST-122,Home Office,Central,Technology,394.81215891746973,4,0.1,333.0395913445029,4.0,No
ORD-1011,2025-04-27,CUST-116,Consumer,West,Technology,279.7211186501157,5,0.3,179.4088655979686,5.0,No
ORD-1012,2025-04-10,CUST-125,Home Office,Central,Technology,432.4456039400054,5,0.3,317.8971291566973,4.0,Yes
ORD-1013,2025-04-14,CUST-107,Home Office,East,Office Supplies,92.6143728678511,8,0.1,242.38445503152303,4.0,No
ORD-1014,2025-06-01,CUST-128,Consumer,Central,Technology,627.6811511808418,7,0.2,146.08683843880678,5.0,Yes
ORD-1015,2025-05-11,CUST-125,Corporate,East,Furniture,90.45895067473573,9,0.2,-18.861429059749852,4.0,No
ORD-1016,2025-05-30,CUST-109,Corporate,Central,Office Supplies,962.4242443086102,14,0.3,106.36907458122798,5.0,Yes
ORD-1017,2025-02-22,CUST-125,Corporate,South,Furniture,288.1173774734153,8,0.3,152.39350851317792,3.0,No
ORD-1018,2025-01-02,CUST-133,Consumer,South,Technology,652.6141783793676,2,0.0,288.7827113307546,2.0,No
ORD-1019,2025-03-29,CUST-140,Home Office,West,Technology,1057.2941141981353,10,0.2,116.6000194410492,3.0,No
ORD-1020,2025-06-07,CUST-106,Corporate,Central,Technology,784.5440691661611,12,0.1,303.95360270508047,4.0,No
ORD-1021,2025-02-07,CUST-103,Corporate,Central,Office Supplies,644.219765996089,4,0.2,203.45704056056098,4.0,No
ORD-1022,2025-05-10,CUST-149,Consumer,East,Furniture,395.95716620729695,6,0.0,-38.35042162584788,5.0,No
ORD-1023,2025-01-21,CUST-144,Corporate,West,Office Supplies,406.27227653925553,12,0.3,347.74161619629183,4.0,Yes
ORD-1024,2025-06-10,CUST-110,Consumer,Central,Office Supplies,806.6894766858462,2,0.3,137.25469733926067,4.0,No
ORD-1025,2025-02-27,CUST-128,Home Office,West,Technology,1193.0258398531894,7,0.0,76.33623338408549,1.0,No
ORD-1026,2025-01-22,CUST-135,Consumer,South,Office Supplies,797.5886359207606,3,0.1,196.6011940112869,4.0,Yes
ORD-1027,2025-03-30,CUST-124,Consumer,Central,Office Supplies,673.7622666703296,13,0.3,-50.99800870853242,4.0,Yes
ORD-1028,2025-02-18,CUST-120,Consumer,Central,Technology,879.4741071847028,3,0.5,186.44239103900946,1.0,No
ORD-1029,2025-02-28,CUST-135,Consumer,West,Office Supplies,563.5946786176246,11,0.3,124.20620022467284,3.0,Yes
ORD-1030,2025-06-19,CUST-109,Home Office,Central,Technology,81.5693876949344,2,0.5,83.00333149936242,3.0,No
ORD-1031,2025-01-15,CUST-136,Home Office,West,Technology,679.1332108947126,11,0.0,328.85900953050464,1.0,No
ORD-1032,2025-06-24,CUST-108,Corporate,Central,Technology,1149.5740885614025,8,0.0,135.14287252942395,4.0,No
ORD-1033,2025-02-20,CUST-123,Home Office,East,Technology,218.61050140561497,6,0.3,-1.3971342385277126,3.0,No
ORD-1034,2025-04-18,CUST-134,Home Office,West,Office Supplies,831.1058200765922,1,0.2,106.53356571978438,4.0,No
ORD-1035,2025-02-24,CUST-148,Corporate,Central,Technology,249.1110895042772,12,0.5,313.72433205770267,5.0,No
ORD-1036,2025-03-05,CUST-134,Home Office,South,Technology,647.6349445229667,1,0.1,-20.757037901232394,4.0,No
ORD-1037,2025-05-11,CUST-147,Consumer,Central,Office Supplies,125.04497507959634,7,0.3,-3.7193325902933907,,No
ORD-1038,2025-02-20,CUST-135,Consumer,South,Office Supplies,545.9414141472403,8,0.1,-94.13669450931232,4.0,No
ORD-1039,2025-05-15,CUST-117,Corporate,South,Furniture,909.8343613853428,5,0.3,-93.61447777190477,4.0,No
